25,1,2000,1,1,12,1,1,0,2,9,10,24,16.1752,0.0525807,0.494024,14,7,257
25,2,2000,1,3,12,1,1,0,2,10,10,24,43.2369,0.885673,1.88811,18,7,265
26,1,8000,1,3,12,1,2,0,2,10,10,24,14.2651,0.775002,1.31782,19,7,270
26,2,8000,1,3,12,1,2,1,2,10,10,24,9.91095,1.06365,2.32265,21,7,276
26,3,8000,1,1,12,2,2,1,2,10,10,24,4.29258,0.0576606,0.43166,21,7,280
27,1,8000,0,1,12,2,2,1,2,10,11,24,11.923,0.679165,0.427811,21,8,285
27,2,8000,0,1,12,2,2,1,2,10,11,25,5.58295,0.504763,0.355333,22,9,291
27,3,8000,0,1,12,2,2,1,2,10,11,26,6.2998,0.778556,0.376672,22,9,295
27,4,8000,0,3,12,2,2,1,2,11,11,26,3.58722,1.87485,3.42246,22,9,299
28,1,2000,1,1,12,2,2,1,2,11,12,26,3.57927,0.844201,0.411764,22,9,303
28,2,2000,1,3,12,2,2,1,2,12,12,26,1.74208,1.44122,1.76074,22,9,307
29,1,8000,1,1,13,2,2,1,2,12,12,26,6.40926,0.489504,0.477897,22,9,311
30,1,8000,1,1,14,2,2,1,2,12,12,26,14.7562,0.315646,0.510413,22,9,315
31,1,8000,1,1,15,2,2,1,2,12,12,26,17.0873,0.226623,0.40434,22,9,319
32,1,8000,1,1,16,2,2,1,2,12,12,26,14.8036,0.407767,0.477185,22,9,323
33,1,8000,0,1,16,2,2,1,2,12,13,26,15.1186,0.232466,0.471488,22,10,328
33,2,8000,0,1,16,2,2,1,2,12,13,27,4.74654,0.21005,0.435139,22,10,332
33,3,8000,0,3,16,2,2,1,2,13,13,27,5.32499,0.597952,0.666848,22,10,336
34,1,8000,1,1,17,2,2,1,2,13,13,27,3.79773,0.184333,0.455457,22,10,340
35,1,2000,1,1,17,2,2,1,2,13,14,27,12.9746,0.379054,0.44418,22,11,345
35,2,2000,1,3,17,2,2,1,2,14,14,27,4.25133,0.278632,2.63931,22,11,349
36,1,2000,1,1,17,2,2,1,2,14,15,27,8.51401,0.725006,0.56773,23,11,354
